Generic Name,Brand Name 1,Brand Name 2,Brand Name 3,Brand Name 4,Uses,Side Effects (common),Side Effects (rare),Similar Drugs
Diflorasone,Psorcon,,,,Inflammatory skin conditions,"Burning, itching, dryness","Skin thinning, adrenal suppression","Fluocinonide, Clobetasol"
Diflunisal,Dolobid,,,,"Pain, arthritis","Nausea, dyspepsia","GI bleeding, renal impairment","Ibuprofen, Naproxen"
Digoxin,Lanoxin,Digitek,,,"Heart failure, atrial fibrillation","Nausea, fatigue, visual disturbances","Arrhythmias, toxicity with narrow therapeutic index","Digitoxin, Amiodarone"
Dihydroergotamine,Migranal,D.H.E. 45,,,Acute migraine treatment,"Nausea, dizziness","Vasospasm, hypertension","Sumatriptan, Ergotamine"
Diltiazem,Cardizem,Tiazac,Cartia XT,,"Hypertension, angina, atrial fibrillation","Edema, dizziness","Bradycardia, AV block","Verapamil, Amlodipine"
Dimenhydrinate,Dramamine,,,,"Motion sickness, nausea","Drowsiness, dry mouth","Confusion, blurred vision","Meclizine, Scopolamine"
Dimethyl fumarate,Tecfidera,,,,Relapsing forms of multiple sclerosis,"Flushing, GI upset","Lymphopenia, liver injury","Fingolimod, Glatiramer acetate"
Dinoprostone,Cervidil,Prepidil,Prostin E2,,"Cervical ripening, labor induction","Uterine contractions, fever","Uterine rupture, fetal distress","Misoprostol, Oxytocin"
Diphenhydramine,Benadryl,Nytol,Sominex,,"Allergic reactions, insomnia, motion sickness","Drowsiness, dry mouth","Confusion, urinary retention","Hydroxyzine, Doxylamine"
Diphenoxylate,Lomotil,,,,Diarrhea (with atropine),"Constipation, drowsiness","Toxic megacolon, dependence","Loperamide, Atropine"
Dipyridamole,Persantine,Aggrenox,,,"Stroke prevention (with aspirin), cardiac stress testing","Headache, dizziness","Hypotension, angina","Clopidogrel, Aspirin"
Dirithromycin,Dynabac,,,,"Respiratory infections (macrolide antibiotic, withdrawn in U.S.)","Nausea, diarrhea","Hepatotoxicity, QT prolongation","Azithromycin, Clarithromycin"
Disopyramide,Norpace,,,,Ventricular arrhythmias,"Dry mouth, constipation","QT prolongation, heart failure exacerbation","Procainamide, Quinidine"
Disulfiram,Antabuse,,,,Alcohol dependence (deterrent therapy),"Headache, metallic taste","Hepatitis, neuropathy","Naltrexone, Acamprosate"
Dobutamine,Dobutrex,,,,"Acute decompensated heart failure, cardiogenic shock","Tachycardia, hypertension","Arrhythmias, myocardial ischemia","Dopamine, Milrinone"
