Generic Name,Brand Name 1,Brand Name 2,Brand Name 3,Brand Name 4,Uses,Side Effects (common),Side Effects (rare),Similar Drugs
Docetaxel,Taxotere,,,,"Breast, lung, prostate, and gastric cancers","Fluid retention, neutropenia","Neuropathy, hypersensitivity","Paclitaxel, Cabazitaxel"
Dofetilide,Tikosyn,,,,Atrial fibrillation/flutter (rhythm control),"Headache, dizziness","Torsades de pointes, QT prolongation","Amiodarone, Sotalol"
Dolasetron,Anzemet,,,,Chemotherapy-induced nausea and vomiting,"Headache, fatigue","QT prolongation, bradycardia","Ondansetron, Granisetron"
Donepezil,Aricept,,,,Alzheimer’s disease,"Nausea, insomnia","Bradycardia, GI bleeding","Rivastigmine, Galantamine"
Dopamine,Intropin,,,,"Shock, heart failure (to maintain BP and renal perfusion)","Tachycardia, headache","Arrhythmias, tissue necrosis (extravasation)","Dobutamine, Norepinephrine"
Dorzolamide,Trusopt,,,,Glaucoma (reduces intraocular pressure),"Eye burning, bitter taste","Corneal edema, allergic conjunctivitis","Brinzolamide, Timolol"
Dosulepin,Prothiaden,,,,Depression and anxiety disorders (not approved in U.S.),"Drowsiness, dry mouth","Arrhythmias, seizures","Amitriptyline, Doxepin"
Doxacurium,Nuromax,,,,Neuromuscular blockade (long-acting),"Prolonged paralysis, hypotension","Histamine release, bronchospasm","Pancuronium, Vecuronium"
Doxazosin,Cardura,,,,"Hypertension, benign prostatic hyperplasia (BPH)","Dizziness, fatigue","Syncope, orthostatic hypotension","Tamsulosin, Terazosin"
Doxepin,Silenor,Sinequan,,,"Depression, anxiety, insomnia, pruritus (topical)","Sedation, dry mouth","Seizures, urinary retention","Amitriptyline, Trazodone"
Doxorubicin,Adriamycin,,,,"Various cancers (breast, lymphoma, leukemia)","Nausea, alopecia, myelosuppression","Cardiotoxicity, extravasation injury","Epirubicin, Daunorubicin"
Doxycycline,Vibramycin,Doryx,Monodox,,"Bacterial infections: acne, Lyme disease, STIs","Photosensitivity, GI upset","Esophagitis, hepatotoxicity","Minocycline, Tetracycline"
Doxylamine,Unisom,Diclegis,,,"Insomnia, nausea/vomiting in pregnancy (with pyridoxine)","Drowsiness, dry mouth","Confusion, hallucinations","Diphenhydramine, Hydroxyzine"
Dronabinol,Marinol,Syndros,,,"Chemotherapy-induced nausea, appetite stimulation in AIDS","Euphoria, dizziness","Psychosis, hypotension","Nabilone, Megestrol"
Dronedarone,Multaq,,,,Atrial fibrillation/flutter (rhythm control),"Diarrhea, nausea","Liver failure, heart failure exacerbation","Amiodarone, Sotalol"
