Generic Name,Brand Name 1,Brand Name 2,Brand Name 3,Brand Name 4,Uses,Side Effects (common),Side Effects (rare),Similar Drugs
Ketamine,Ketalar,,,,"Anesthesia, depression (off-label), pain relief","Drowsiness, nausea","Hallucinations, agitation","Propofol, Etomidate"
Ketoconazole,Nizoral,,,,"Fungal infections, seborrheic dermatitis (topical)","GI upset, headache","Hepatotoxicity, adrenal insufficiency","Fluconazole, Itraconazole"
Labetalol,Trandate,Normodyne,,,"Hypertension, heart failure","Dizziness, fatigue","Orthostatic hypotension, bronchospasm","Metoprolol, Carvedilol"
Lacosamide,Vimpat,,,,"Partial seizures, adjunct therapy for epilepsy","Dizziness, nausea","Cardiac arrhythmias, hepatic dysfunction","Lamotrigine, Levetiracetam"
Lansoprazole,Prevacid,,,,"GERD, ulcers, Zollinger-Ellison syndrome","Headache, diarrhea","Hypomagnesemia, C. difficile colitis","Omeprazole, Pantoprazole"
Latanoprost,Xalatan,,,,Glaucoma (reduces intraocular pressure),"Eye irritation, blurred vision","Conjunctival hyperemia, iris pigmentation","Bimatoprost, Travoprost"
Leuprolide,Lupron,Eligard,,,"Prostate cancer, endometriosis, fibroids","Hot flashes, injection site reaction","Tumor flare, bone thinning","Goserelin, Triptorelin"
Levofloxacin,Levaquin,,,,"Respiratory tract infections, UTIs, anthrax","Nausea, diarrhea","Tendon rupture, QT prolongation","Ciprofloxacin, Moxifloxacin"
Levothyroxine,Synthroid,Euthyrox,Eltroxin,,Hypothyroidism,"Weight loss, increased appetite","Tachycardia, osteoporosis, hyperthyroidism","Liothyronine, Armour Thyroid"
Lidocaine,Xylocaine,Lidoderm,,,"Local anesthesia, antiarrhythmic agent","Nausea, dizziness","Cardiac arrhythmias, seizures","Bupivacaine, Ropivacaine"
Linezolid,Zyvox,,,,"Gram-positive infections, including MRSA and VRE","Diarrhea, headache","Myelosuppression, optic neuropathy","Vancomycin, Daptomycin"
Lisinopril,Prinivil,Zestril,,,"Hypertension, heart failure","Dizziness, headache","Angioedema, hyperkalemia","Enalapril, Ramipril"
Lithium,Lithobid,Eskalith,,,Bipolar disorder,"Tremor, weight gain","Nephrogenic diabetes insipidus, thyroid dysfunction","Valproic acid, Lamotrigine"
Lorazepam,Ativan,,,,"Anxiety, insomnia, seizures","Drowsiness, dizziness","Respiratory depression, dependence","Diazepam, Clonazepam"
Losartan,Cozaar,,,,"Hypertension, heart failure","Dizziness, fatigue","Hyperkalemia, angioedema","Valsartan, Olmesartan"
