Generic Name,Brand Name 1,Brand Name 2,Brand Name 3,Brand Name 4,Brand Name 5,Brand Name 6,Uses,Side Effects (common),Side Effects (rare),Similar Drugs
Aliskiren,Tekturna,,,,,,Hypertension,"Diarrhea, dizziness, headache","Hyperkalemia, angioedema","Lisinopril, Losartan"
Allopurinol,Zyloprim,Aloprim,,,,,"Gout, hyperuricemia","Rash, diarrhea, drowsiness","Severe skin reactions (SJS, TEN), hepatotoxicity","Febuxostat, Colchicine"
Almotriptan,Axert,,,,,,Acute migraine attacks,"Dizziness, nausea, dry mouth","Serotonin syndrome, chest pain","Sumatriptan, Rizatriptan"
Alogliptin,Nesina,,,,,,Type 2 diabetes mellitus,"Nasopharyngitis, headache, upper RTI","Pancreatitis, heart failure","Sitagliptin, Saxagliptin"
Alosetron,Lotronex,,,,,,IBS with diarrhea (in women),"Constipation, abdominal discomfort","Ischemic colitis, serious GI complications","Eluxadoline, Rifaximin"
Alprazolam,Xanax,Niravam,Xanax XR,,,,"Anxiety, panic disorder","Drowsiness, dizziness, fatigue","Dependence, withdrawal seizures","Lorazepam, Diazepam"
Alprostadil,Caverject,Edex,Muse,Prostin VR,,,"Erectile dysfunction, ductus arteriosus patency in neonates","Penile pain, urethral burning","Priapism, hypotension","Sildenafil, Phentolamine"
Alteplase,Activase,Cathflo,,,,,"Acute ischemic stroke, MI, PE, catheter occlusion","Bleeding, nausea, hypotension",Intracranial hemorrhage,"Tenecteplase, Reteplase"
Aluminium hydroxide,Alternagel,Amphojel,,,,,"Heartburn, indigestion, hyperphosphatemia","Constipation, stomach cramps",Aluminum toxicity (in renal impairment),"Calcium carbonate, Magnesium hydroxide"
Amantadine,Symmetrel,Gocovri,Osmolex ER,,,,"Parkinson’s disease, influenza A prophylaxis","Dizziness, dry mouth, nausea","Hallucinations, CHF exacerbation","Rimantadine, Levodopa"
Ambrisentan,Letairis,,,,,,Pulmonary arterial hypertension (PAH),"Peripheral edema, nasal congestion","Liver injury, fetal toxicity","Bosentan, Macitentan"
Amcinonide,Cyclocort,,,,,,Inflammatory skin conditions,"Burning, itching, skin irritation","Skin thinning, HPA axis suppression","Fluocinonide, Betamethasone"
Amifostine,Ethyol,,,,,,Cytoprotection during chemotherapy or radiation,"Nausea, vomiting, hypotension","Hypersensitivity, seizures","Mesna, Palifermin"
Amikacin,Amikin,,,,,,Severe gram-negative bacterial infections,"Nephrotoxicity, ototoxicity, fever","Neuromuscular blockade, renal failure","Gentamicin, Tobramycin"
Amiloride,Midamor,,,,,,"Hypertension, heart failure, potassium-sparing diuretic","Dizziness, headache, nausea","Hyperkalemia, arrhythmias","Spironolactone, Triamterene"
