Generic Name,Brand Name 1,Brand Name 2,Brand Name 3,Brand Name 4,Uses,Side Effects (common),Side Effects (rare),Similar Drugs
Phenytoin,Dilantin,Phenytek,,,Epilepsy (seizure treatment),"Dizziness, nausea","Gingival hyperplasia, hepatotoxicity","Carbamazepine, Lamotrigine"
Piroxicam,Feldene,,,,"Pain, inflammation (NSAID)","GI upset, headache","GI bleeding, kidney impairment","Ibuprofen, Diclofenac"
Pitavastatin,Livalo,,,,Hyperlipidemia,"Muscle pain, constipation","Myopathy, liver toxicity","Atorvastatin, Rosuvastatin"
Pneumococcal vaccine,Prevnar 13,Pneumovax 23,,,Prevention of pneumococcal infections,"Pain, redness at injection site","Allergic reactions, fever",Meningococcal vaccine
Polymyxin B,Polytrim,,,,Severe bacterial infections (often multidrug-resistant gram-negative),"Nausea, injection site pain","Nephrotoxicity, neurotoxicity","Colistin, Gentamicin"
Pomalidomide,Pomalyst,,,,Multiple myeloma (relapsed or refractory),"Fatigue, diarrhea","Neutropenia, thrombocytopenia","Lenalidomide, Thalidomide"
Posaconazole,Noxafil,,,,Fungal infections (especially in immunocompromised patients),"Nausea, headache","Hepatotoxicity, QT prolongation","Itraconazole, Voriconazole"
Potassium chloride,Klor-Con,K-Dur,,,Hypokalemia (potassium replacement),"Nausea, diarrhea","Hyperkalemia, GI ulcers","Sodium bicarbonate, Calcium carbonate"
Pravastatin,Pravachol,,,,"Hyperlipidemia, cardiovascular risk reduction","Headache, rash","Muscle pain, liver dysfunction","Simvastatin, Atorvastatin"
Prednisolone,Orapred,Prelone,,,"Inflammatory and autoimmune conditions, allergies","Weight gain, insomnia","Cushing’s syndrome, immunosuppression","Prednisone, Methylprednisolone"
Pregabalin,Lyrica,,,,"Neuropathic pain, seizures, fibromyalgia","Dizziness, weight gain","Angioedema, suicidal thoughts","Gabapentin, Carbamazepine"
Probenecid,Benemid,,,,"Gout (to reduce uric acid levels), enhance penicillin activity","Nausea, rash","Kidney stones, uric acid kidney stones","Allopurinol, Sulfinpyrazone"
Prochlorperazine,Compazine,,,,"Psychotic disorders, nausea/vomiting","Drowsiness, dizziness","Extrapyramidal symptoms, tardive dyskinesia","Haloperidol, Olanzapine"
Promethazine,Phenergan,,,,"Allergies, nausea/vomiting, sedation","Drowsiness, dry mouth","Respiratory depression, QT prolongation","Diphenhydramine, Hydroxyzine"
Propranolol,Inderal,,,,"Hypertension, arrhythmias, anxiety, migraine prevention","Fatigue, dizziness","Bradycardia, hypotension","Atenolol, Metoprolol"
