Generic Name,Brand Name 1,Brand Name 2,Brand Name 3,Brand Name 4,Brand Name 5,Brand Name 6,Uses,Side Effects (common),Side Effects (rare),Similar Drugs
Atorvastatin,Lipitor,,,,,,High cholesterol; prevention of cardiovascular events,"Muscle pain, elevated liver enzymes, nausea","Rhabdomyolysis, liver failure","Simvastatin, Rosuvastatin"
Atovaquone,Mepron,,,,,,Pneumocystis pneumonia prophylaxis/treatment; malaria treatment,"Headache, rash, gastrointestinal upset",Hepatotoxicity,Atovaquone-proguanil (Malarone)
Atracurium,Tracrium,,,,,,Neuromuscular blockade during anesthesia,"Hypotension, histamine release",Prolonged neuromuscular blockade,"Cisatracurium, Vecuronium"
Atropine,Atropen,Isopto Atropine,,,,,Bradycardia; pre-anesthesia; anticholinergic effects,"Dry mouth, blurred vision, tachycardia","Urinary retention, confusion",Scopolamine
Auranofin,Ridaura,,,,,,Rheumatoid arthritis,"Diarrhea, rash","Nephrotoxicity, bone marrow suppression","Methotrexate, Hydroxychloroquine"
Avanafil,Stendra,,,,,,Erectile dysfunction,"Headache, flushing, nasal congestion","Hypotension, priapism","Sildenafil, Tadalafil"
Axitinib,Inlyta,,,,,,Renal cell carcinoma,"Diarrhea, hypertension, fatigue","Hepatotoxicity, thromboembolism","Sunitinib, Sorafenib"
Azacitidine,Vidaza,,,,,,"Myelodysplastic syndrome, acute myeloid leukemia","Nausea, vomiting, injection site reactions","Myelosuppression, fever",Decitabine
Azathioprine,Imuran,,,,,,"Organ transplantation, autoimmune disorders","Nausea, vomiting, leukopenia","Hepatotoxicity, pancreatitis","6-mercaptopurine, Mycophenolate mofetil"
Azelaic acid,Finacea,,,,,,"Rosacea, acne","Skin irritation, dryness",Hypopigmentation,"Topical metronidazole, benzoyl peroxide"
Azelastine,Astelin,Astepro,,,,,"Allergic rhinitis, allergic conjunctivitis","Bitter taste, drowsiness","Nasal irritation, epistaxis","Olopatadine, Levocabastine"
Azithromycin,Zithromax,Zmax,,,,,"Bacterial infections (respiratory, skin, STIs)","Diarrhea, nausea, abdominal pain","QT prolongation, hepatotoxicity","Clarithromycin, Erythromycin"
Aztreonam,Azactam,,,,,,Gram-negative bacterial infections,"Injection site reactions, rash","Anaphylaxis, C. difficile infection",Broad-spectrum antibiotics (alternatives)
Bacitracin,Bacitracin,,,,,,Topical treatment of skin infections,"Skin irritation, contact dermatitis",Allergic reaction,"Mupirocin, Neomycin"
Baclofen,Lioresal,,,,,,Muscle spasticity,"Drowsiness, dizziness","Respiratory depression, hypotension","Tizanidine, Diazepam"
