Generic Name,Brand Name 1,Brand Name 2,Brand Name 3,Brand Name 4,Uses,Side Effects (common),Side Effects (rare),Similar Drugs
Methotrexate,Rheumatrex,Trexall,,,"Cancer, rheumatoid arthritis, psoriasis","Nausea, fatigue","Hepatotoxicity, myelosuppression","Azathioprine, Cyclophosphamide"
Methylphenidate,Ritalin,Concerta,Metadate,,"ADHD, narcolepsy","Insomnia, loss of appetite","Tachycardia, hypertension","Amphetamine salts, Dexmethylphenidate"
Methylthiazole,–,,,,Antifungal agent (used in combination for skin infections),"Rash, nausea","Hepatotoxicity, Steven's Johnson syndrome","Terbinafine, Itraconazole"
Metronidazole,Flagyl,MetroGel,,,"Bacterial infections (anaerobic), trichomoniasis","Nausea, metallic taste","Seizures, peripheral neuropathy","Clindamycin, Tinidazole"
Midazolam,Versed,,,,"Sedation, anesthesia, seizure treatment","Drowsiness, respiratory depression","Paradoxical agitation, hypotension","Lorazepam, Diazepam"
Milnacipran,Savella,,,,"Fibromyalgia, major depressive disorder (off-label)","Nausea, headache","Increased blood pressure, serotonin syndrome","Duloxetine, Venlafaxine"
Minocycline,Minocin,Dynacin,,,"Bacterial infections, acne, rosacea","Dizziness, nausea","Hypersensitivity, permanent pigmentation","Tetracycline, Doxycycline"
Mirtazapine,Remeron,,,,"Depression, anxiety","Weight gain, sedation","Agranulocytosis, serotonin syndrome","Trazodone, Amitriptyline"
Misoprostol,Cytotec,,,,"Prevention of NSAID-induced ulcers, abortion (off-label)","Diarrhea, abdominal cramping","Uterine rupture, hypovolemic shock","Mifepristone, Dinoprostone"
Mometasone,Nasonex,Asmanex,,,"Allergic rhinitis, asthma (inhaled corticosteroid)","Nasal irritation, headache","Oral thrush, growth suppression (in children)","Fluticasone, Beclomethasone"
Morphine,MS Contin,Kadian,,,Severe pain (opioid analgesic),"Constipation, sedation","Respiratory depression, dependence","Hydrocodone, Oxycodone"
Moxifloxacin,Avelox,Vigamox,,,"Bacterial infections (respiratory, skin)","Nausea, headache","QT prolongation, C. difficile-associated diarrhea","Levofloxacin, Ciprofloxacin"
Nafcillin,Nafcil,,,,Serious infections (penicillinase-resistant),"Nausea, rash","Neutropenia, hepatotoxicity","Dicloxacillin, Oxacillin"
Naloxone,Narcan,,,,Opioid overdose (antagonist),"Nausea, vomiting","Withdrawal symptoms, seizures","Naltrexone, Buprenorphine"
Naproxen,Aleve,Naprosyn,,,"Pain, inflammation, fever (NSAID)","GI upset, headache","GI bleeding, renal impairment","Ibuprofen, Diclofenac"
