Generic Name,Brand Name 1,Brand Name 2,Brand Name 3,Brand Name 4,Uses,Side Effects (common),Side Effects (rare),Similar Drugs
Cefixime,Suprax,,,,"Otitis media, bronchitis, UTI","Diarrhea, nausea, abdominal pain","Stevens-Johnson syndrome, anaphylaxis","Cefdinir, Cefpodoxime"
Cefotaxime,Claforan,,,,"Severe bacterial infections, especially in hospital settings","Injection site pain, rash","Seizures, neutropenia","Ceftriaxone, Ceftazidime"
Cefotetan,Cefotan,,,,Surgical prophylaxis; abdominal and pelvic infections,"Diarrhea, rash, nausea","Disulfiram-like reaction, bleeding","Cefoxitin, Ceftriaxone"
Cefoxitin,Mefoxin,,,,"Intra-abdominal infections, gynecologic infections","Injection site reaction, rash",C. difficile-associated diarrhea,"Cefotetan, Cefotaxime"
Cefpodoxime,Vantin,,,,"Respiratory tract infections, skin infections","Diarrhea, abdominal pain","Hypersensitivity, liver enzyme elevation","Cefdinir, Cefixime"
Cefprozil,Cefzil,,,,"Pharyngitis, otitis media, skin infections","Nausea, vomiting, diarrhea","Anaphylaxis, serum sickness","Cephalexin, Cefuroxime"
Ceftaroline,Teflaro,,,,"Community-acquired pneumonia, MRSA skin infections","Diarrhea, nausea, rash","Neutropenia, hypersensitivity","Vancomycin, Linezolid"
Ceftazidime,Fortaz,Tazicef,,,Pseudomonal and other gram-negative infections,"Injection site pain, GI upset","Encephalopathy, thrombocytopenia","Cefepime, Piperacillin-tazobactam"
Ceftibuten,Cedax,,,,"Otitis media, pharyngitis, bronchitis","Diarrhea, nausea, headache","Rash, eosinophilia","Cefixime, Cefdinir"
Ceftolozane/tazobactam,Zerbaxa,,,,Complicated intra-abdominal and urinary tract infections,"Nausea, diarrhea, headache","Hepatotoxicity, hypersensitivity","Piperacillin-tazobactam, Meropenem"
Ceftriaxone,Rocephin,,,,"Meningitis, gonorrhea, pneumonia","Injection site pain, eosinophilia","Biliary sludging, hemolytic anemia","Cefotaxime, Cefepime"
Cefuroxime,Ceftin,Zinacef,,,"Pharyngitis, sinusitis, skin infections","Diarrhea, nausea, rash","Serum sickness, seizures","Cefprozil, Cephalexin"
Celecoxib,Celebrex,,,,"Osteoarthritis, rheumatoid arthritis, acute pain","Dyspepsia, diarrhea, hypertension","Cardiovascular events, GI bleeding","Meloxicam, Diclofenac"
Celiprolol,Selectol,,,,Hypertension (not commonly used in U.S.),"Fatigue, bradycardia","Heart block, bronchospasm","Atenolol, Bisoprolol"
Cephalexin,Keflex,,,,"Skin and soft tissue infections, UTI","Diarrhea, nausea, rash","Anaphylaxis, seizures","Cefadroxil, Amoxicillin"
