Generic Name,Brand Name 1,Brand Name 2,Brand Name 3,Brand Name 4,Uses,Side Effects (common),Side Effects (rare),Similar Drugs
Naltrexone,ReVia,Vivitrol,,,Opioid and alcohol dependence treatment,"Nausea, headache","Hepatotoxicity, withdrawal syndrome","Naloxone, Buprenorphine"
Nebivolol,Bystolic,,,,"Hypertension, heart failure","Headache, fatigue","Bradycardia, hypotension","Metoprolol, Carvedilol"
Netupitant/palonosetron,Akynzeo,,,,Chemotherapy-induced nausea and vomiting prevention (combination therapy),"Constipation, fatigue","Hypersensitivity, QT prolongation","Granisetron, Ondansetron"
Niacin,Niaspan,Slo-Niacin,,,"Hyperlipidemia, niacin deficiency (pellagra)","Flushing, headache","Hepatotoxicity, hyperglycemia","Fenofibrate, Simvastatin"
Nifedipine,Procardia,Adalat,,,"Hypertension, angina","Edema, headache","Reflex tachycardia, gingival hyperplasia","Amlodipine, Felodipine"
Nitroglycerin,Nitrostat,Nitro-Dur,,,Angina (short-acting); heart failure (long-acting),"Headache, dizziness","Hypotension, tachycardia","Isosorbide dinitrate, Hydralazine"
Nitazoxanide,Alinia,,,,"Giardiasis, cryptosporidiosis","Nausea, abdominal pain","Hepatotoxicity, rash","Metronidazole, Tinidazole"
Norepinephrine,Levophed,,,,"Shock, hypotension","Hypertension, tachycardia","Arrhythmias, tissue necrosis (extravasation)","Epinephrine, Dopamine"
Norfloxacin,Noroxin,,,,"Bacterial infections (UTIs, prostatitis)","Nausea, headache","Tendon rupture, QT prolongation","Ciprofloxacin, Levofloxacin"
Olanzapine,Zyprexa,Zyprexa Relprevv,,,"Schizophrenia, bipolar disorder","Weight gain, sedation","Hyperglycemia, tardive dyskinesia","Risperidone, Quetiapine"
Olmesartan,Benicar,,,,Hypertension,"Dizziness, fatigue","Angioedema, hyperkalemia","Losartan, Valsartan"
Omega-3 fatty acids,Lovaza,Vascepa,,,Hypertriglyceridemia,"Fishy aftertaste, nausea","Bleeding, impaired platelet aggregation","Epanova, Icosapent ethyl"
Omeprazole,Prilosec,,,,"GERD, ulcers, Zollinger-Ellison syndrome","Headache, nausea","Hypomagnesemia, C. difficile colitis","Lansoprazole, Pantoprazole"
Ondansetron,Zofran,,,,"Nausea and vomiting prevention (chemotherapy, post-surgery)","Headache, constipation","QT prolongation, serotonin syndrome","Granisetron, Palonosetron"
Oseltamivir,Tamiflu,,,,Influenza (treatment and prevention),"Nausea, vomiting","Neuropsychiatric events, severe allergic reactions","Zanamivir, Baloxavir marboxil"
