Generic Name,Brand Name 1,Brand Name 2,Brand Name 3,Brand Name 4,Uses,Side Effects (common),Side Effects (rare),Similar Drugs
Bethanechol,Urecholine,,,,Urinary retention; neurogenic bladder,"Abdominal cramps, sweating, flushing","Hypotension, diarrhea",Carbachol
Bevacizumab,Avastin,,,,Various cancers; wet age-related macular degeneration,"Hypertension, proteinuria","GI perforation, hemorrhage","Ranibizumab, Aflibercept"
Bexarotene,Targretin,,,,Cutaneous T-cell lymphoma,"Hypertriglyceridemia, hypothyroidism","Leukopenia, pancreatitis",Vorinostat
Bicalutamide,Casodex,,,,Prostate cancer,"Hot flashes, gynecomastia","Hepatotoxicity, interstitial lung disease","Flutamide, Enzalutamide"
Bimatoprost,Lumigan,,,,Glaucoma; ocular hypertension,"Eye redness, irritation","Iris pigmentation changes, increased eyelash growth","Latanoprost, Travoprost"
Bisacodyl,Dulcolax,,,,Constipation,"Abdominal cramps, diarrhea",Electrolyte imbalance,"Senna, Polyethylene glycol"
Bisoprolol,Zebeta,,,,Hypertension; heart failure,"Fatigue, bradycardia","Hypotension, worsening heart failure","Metoprolol, Carvedilol"
Bivalirudin,Angiomax,,,,Anticoagulation during PCI,"Bleeding, anemia",Thrombocytopenia,"Heparin, Argatroban"
Bleomycin,Blenoxane,,,,"Chemotherapy (Hodgkin’s lymphoma, testicular cancer)","Fever, rash","Pulmonary fibrosis, skin changes","Cisplatin, Etoposide (combinations)"
Blinatumomab,Blincyto,,,,Acute lymphoblastic leukemia,"Fever, chills, hypotension","Cytokine release syndrome, neurotoxicity",Inotuzumab ozogamicin
Bortezomib,Velcade,,,,Multiple myeloma; mantle cell lymphoma,"Peripheral neuropathy, fatigue","Herpes zoster reactivation, thrombocytopenia","Carfilzomib, Ixazomib"
Bosentan,Tracleer,,,,Pulmonary arterial hypertension,"Elevated liver enzymes, edema","Hepatotoxicity, anemia","Ambrisentan, Macitentan"
Bosutinib,Bosulif,,,,Chronic myelogenous leukemia,"Diarrhea, nausea, vomiting","Liver toxicity, rash","Imatinib, Dasatinib"
Brentuximab vedotin,Adcetris,,,,Hodgkin’s lymphoma; systemic anaplastic large cell lymphoma,"Peripheral neuropathy, neutropenia",Progressive multifocal leukoencephalopathy (PML),Polatuzumab vedotin
Brimonidine,Alphagan,,,,Glaucoma; ocular hypertension,"Eye redness, dry mouth","Allergic conjunctivitis, ocular pruritus","Apraclonidine, Timolol"
