Generic Name,Brand Name 1,Brand Name 2,Brand Name 3,Brand Name 4,Uses,Side Effects (common),Side Effects (rare),Similar Drugs
Dasatinib,Sprycel,,,,"Chronic myeloid leukemia (CML), Ph+ ALL","Fluid retention, diarrhea","Pulmonary hypertension, QT prolongation","Imatinib, Nilotinib"
Daunorubicin,Cerubidine,,,,"Acute leukemia (AML, ALL)","Myelosuppression, nausea","Cardiotoxicity, extravasation injury","Doxorubicin, Idarubicin"
Deferasirox,Exjade,Jadenu,,,Iron overload due to transfusions,"Abdominal pain, increased creatinine","Renal failure, hepatic toxicity","Deferiprone, Deferoxamine"
Deferiprone,Ferriprox,,,,Iron overload in thalassemia,"Nausea, vomiting, arthralgia","Agranulocytosis, neutropenia","Deferasirox, Deferoxamine"
Deflazacort,Emflaza,,,,Duchenne muscular dystrophy,"Weight gain, Cushingoid appearance","Immunosuppression, adrenal suppression","Prednisone, Dexamethasone"
Degarelix,Firmagon,,,,Advanced prostate cancer,"Hot flashes, injection site reactions","QT prolongation, liver enzyme elevation","Leuprolide, Goserelin"
Delavirdine,Rescriptor,,,,HIV-1 infection (NNRTI class; rarely used now),"Rash, headache, nausea","Hepatotoxicity, SJS/TEN","Efavirenz, Nevirapine"
Demeclocycline,Declomycin,,,,SIADH (off-label); bacterial infections,"Photosensitivity, GI upset","Nephrogenic diabetes insipidus, hepatotoxicity","Tetracycline, Doxycycline"
Denosumab,Prolia,Xgeva,,,"Osteoporosis, bone metastases","Hypocalcemia, fatigue","Osteonecrosis of the jaw, atypical femur fractures","Zoledronic acid, Alendronate"
Desflurane,Suprane,,,,General anesthesia induction and maintenance,"Airway irritation, tachycardia",Malignant hyperthermia,"Sevoflurane, Isoflurane"
Desipramine,Norpramin,,,,"Depression, neuropathic pain","Dry mouth, constipation, dizziness","Cardiac arrhythmias, suicidal ideation","Nortriptyline, Amitriptyline"
Desloratadine,Clarinex,,,,"Allergic rhinitis, urticaria","Headache, fatigue",Hypersensitivity reactions,"Loratadine, Fexofenadine"
Desmopressin,DDAVP,Nocdurna,Stimate,,"Diabetes insipidus, nocturia, hemophilia A/vWD","Headache, flushing","Hyponatremia, seizures","Vasopressin, Lypressin"
Desogestrel,Ortho-Cept,Mircette,Apri,,Contraception (usually in combination with estrogen),"Nausea, breast tenderness","Thromboembolism, mood changes","Norgestimate, Drospirenone"
Desonide,DesOwen,Verdeso,,,Mild inflammatory skin conditions,"Burning, stinging","Skin atrophy, HPA axis suppression","Hydrocortisone, Fluocinolone"
