Generic Name,Brand Name 1,Brand Name 2,Brand Name 3,Brand Name 4,Uses,Side Effects (common),Side Effects (rare),Similar Drugs
Quetiapine,Seroquel,,,,"Schizophrenia, bipolar disorder, insomnia","Drowsiness, weight gain","Tardive dyskinesia, diabetes mellitus","Olanzapine, Risperidone"
Quinapril,Accupril,,,,"Hypertension, heart failure","Dizziness, cough","Angioedema, hyperkalemia","Enalapril, Lisinopril"
Quinine,Qualaquin,,,,Malaria (treatment and prevention),"Nausea, dizziness","Cinchonism, hemolysis (in G6PD deficiency)","Artemether, Mefloquine"
Raloxifene,Evista,,,,"Osteoporosis, breast cancer prevention (postmenopausal women)","Hot flashes, leg cramps","Thromboembolism, stroke","Tamoxifen, Letrozole"
Ramipril,Altace,,,,"Hypertension, heart failure, cardiovascular risk reduction","Dizziness, cough","Hyperkalemia, angioedema","Enalapril, Lisinopril"
Ranitidine,Zantac,,,,"GERD, ulcers, Zollinger-Ellison syndrome","Headache, constipation","Hepatotoxicity, C. difficile colitis","Famotidine, Omeprazole"
Repaglinide,Prandin,,,,Type 2 diabetes (insulin secretagogue),"Hypoglycemia, weight gain","Hepatotoxicity, allergic reactions","Nateglinide, Glimepiride"
Rifampin,Rifadin,,,,"Tuberculosis, prophylaxis for meningococcal disease, other bacterial infections","Nausea, rash","Hepatitis, orange-colored bodily fluids","Isoniazid, Pyrazinamide"
Rivaroxaban,Xarelto,,,,"Stroke prevention in atrial fibrillation, DVT/PE treatment and prevention","Bleeding, nausea","Spinal hematoma, liver dysfunction","Apixaban, Dabigatran"
Rizatriptan,Maxalt,,,,Acute migraine treatment,"Drowsiness, fatigue","Chest pain, serotonin syndrome","Sumatriptan, Zolmitriptan"
Ropivacaine,Naropin,,,,"Local anesthesia (surgical, epidural)","Nausea, dizziness","Cardiac arrhythmias, seizures","Bupivacaine, Lidocaine"
Rosiglitazone,Avandia,,,,Type 2 diabetes (insulin sensitizer),"Weight gain, edema","Cardiovascular events, hepatotoxicity","Pioglitazone, Metformin"
Rotavirus vaccine,Rotarix,RotaTeq,,,Prevention of rotavirus gastroenteritis in infants,"Fever, irritability",Intussusception (rare),"DTP vaccine, MMR vaccine"
Rufinamide,Banzel,,,,Lennox-Gastaut syndrome (seizure treatment),"Drowsiness, headache","Liver toxicity, blood dyscrasias","Lamotrigine, Topiramate"
Salmeterol,Serevent,,,,"Asthma, COPD (long-acting beta-agonist)","Headache, throat irritation","Paradoxical bronchospasm, tremor","Formoterol, Albuterol"
