Generic Name,Brand Name 1,Brand Name 2,Brand Name 3,Brand Name 4,Uses,Side Effects (common),Side Effects (rare),Similar Drugs
Trolamine,Aspercreme,,,,"Topical pain relief (muscle pain, strains)","Skin irritation, redness","Allergic reactions, contact dermatitis","Methylsalicylate, Menthol"
Trospium,Sanctura,,,,Overactive bladder,"Dry mouth, constipation","Blurred vision, urinary retention","Oxybutynin, Tolterodine"
Tylosin,Tylan,,,,Bacterial infections in livestock (veterinary use),"Nausea, abdominal pain","Anaphylaxis, liver toxicity","Erythromycin, Azithromycin"
Valacyclovir,Valtrex,,,,"Herpes simplex, varicella zoster, CMV","Nausea, headache","Nephrotoxicity, thrombocytopenia","Acyclovir, Famciclovir"
Valganciclovir,Valcyte,,,,Cytomegalovirus infections in immunocompromised patients,"Diarrhea, headache","Leukopenia, retinitis","Ganciclovir, Foscarnet"
Valsartan,Diovan,,,,"Hypertension, heart failure, post-MI","Dizziness, fatigue","Hyperkalemia, angioedema","Losartan, Irbesartan"
Vancomycin,Vancocin,,,,"Severe bacterial infections (MRSA, C. difficile)","Nausea, fever","Nephrotoxicity, red man syndrome","Linezolid, Clindamycin"
Vardenafil,Levitra,Staxyn,,,Erectile dysfunction,"Headache, flushing","Vision disturbances, priapism","Sildenafil, Tadalafil"
Venlafaxine,Effexor XR,,,,"Depression, anxiety, panic disorder, neuropathic pain","Nausea, insomnia, dizziness","Hypertension, serotonin syndrome","Duloxetine, Paroxetine"
Verapamil,Calan,Isoptin,,,"Hypertension, angina, arrhythmias","Dizziness, constipation","Bradycardia, heart block","Diltiazem, Amlodipine"
Vilazodone,Viibryd,,,,"Depression, anxiety","Diarrhea, nausea","Seizures, suicidal thoughts","Sertraline, Paroxetine"
Vincristine,Oncovin,,,,"Leukemia, lymphoma, solid tumors","Nausea, alopecia","Peripheral neuropathy, myelosuppression","Doxorubicin, Cyclophosphamide"
Vitamin D (Cholecalciferol),D-Vite,Calciferol,,,"Vitamin D deficiency, osteoporosis prevention","Hypercalcemia, constipation","Renal impairment, soft tissue calcification","Calcium, Ergocalciferol"
Warfarin,Coumadin,Jantoven,,,"Anticoagulation (stroke prevention, DVT/PE treatment)","Bleeding, bruising","Hemorrhagic stroke, purple toe syndrome","Rivaroxaban, Apixaban"
Zolmitriptan,Zomig,,,,Acute treatment of migraines,"Dizziness, nausea","Chest pain, serotonin syndrome","Sumatriptan, Rizatriptan"
