Generic Name,Brand Name 1,Brand Name 2,Brand Name 3,Brand Name 4,Uses,Side Effects (common),Side Effects (rare),Similar Drugs
Ethosuximide,Zarontin,,,,Absence seizures,"Nausea, dizziness","Blood dyscrasias, lupus-like syndrome","Valproic acid, Lamotrigine"
Etoposide,Toposar,VePesid,,,"Testicular cancer, small cell lung cancer","Myelosuppression, alopecia","Hypotension (rapid infusion), secondary leukemia","Cisplatin, Bleomycin"
Etravirine,Intelence,,,,HIV-1 infection (NNRTI class),"Rash, nausea","Hypersensitivity, hepatotoxicity","Efavirenz, Rilpivirine"
Exemestane,Aromasin,,,,Hormone-receptor-positive breast cancer (postmenopausal women),"Hot flashes, fatigue","Osteoporosis, hepatotoxicity","Letrozole, Anastrozole"
Exenatide,Byetta,Bydureon,,,Type 2 diabetes mellitus,"Nausea, injection site reactions","Pancreatitis, thyroid tumors","Liraglutide, Semaglutide"
Ezetimibe,Zetia,,,,Hyperlipidemia (often with statin),"Diarrhea, fatigue","Myopathy, elevated liver enzymes",Simvastatin + Ezetimibe (Vytorin)
Factor VIII,Advate,Kogenate,Recombinate,,Hemophilia A (replacement therapy),"Headache, fever","Inhibitor formation, anaphylaxis",Emicizumab
Famciclovir,Famvir,,,,"Herpes zoster, genital herpes","Headache, nausea","Hallucinations (elderly), rash","Acyclovir, Valacyclovir"
Famotidine,Pepcid,,,,"GERD, ulcers, dyspepsia","Headache, constipation","Arrhythmias, confusion (rare)","Ranitidine, Cimetidine"
Febuxostat,Uloric,,,,Chronic management of hyperuricemia in gout,"Rash, nausea",Cardiovascular events (boxed warning),Allopurinol
Felbamate,Felbatol,,,,"Epilepsy (LGS, partial seizures) – last resort due to risk","Anorexia, insomnia","Aplastic anemia, liver failure","Lamotrigine, Topiramate"
Felodipine,Plendil,,,,Hypertension,"Edema, headache","Gingival hyperplasia, tachycardia","Amlodipine, Nifedipine"
Fenofibrate,Tricor,Antara,Lofibra,,"Hypertriglyceridemia, mixed dyslipidemia","GI upset, headache",Rhabdomyolysis (esp. with statins),"Gemfibrozil, Niacin"
Fenoldopam,Corlopam,,,,Hypertensive emergencies (IV use),"Headache, flushing",Increased intraocular pressure,"Nitroprusside, Nicardipine"
Fentanyl,Duragesic,Sublimaze,Actiq,,"Severe pain, anesthesia","Sedation, constipation","Respiratory depression, dependence","Morphine, Hydromorphone"
