Generic Name,Brand Name 1,Brand Name 2,Brand Name 3,Brand Name 4,Uses,Side Effects (common),Side Effects (rare),Similar Drugs
Fosamprenavir,Lexiva,,,,HIV-1 infection (protease inhibitor),"Rash, nausea","Hepatotoxicity, Stevens-Johnson syndrome","Atazanavir, Darunavir"
Foscarnet,Foscavir,,,,"CMV retinitis in AIDS, acyclovir-resistant HSV","Electrolyte imbalance, nephrotoxicity","Seizures, genital ulceration","Ganciclovir, Cidofovir"
Fosinopril,Monopril,,,,"Hypertension, heart failure","Cough, dizziness","Angioedema, hyperkalemia","Enalapril, Lisinopril"
Fosphenytoin,Cerebyx,,,,Status epilepticus (IV); seizures (prodrug of phenytoin),"Dizziness, ataxia","Cardiac arrhythmias, hypotension","Phenytoin, Levetiracetam"
Frovatriptan,Frova,,,,Acute treatment of migraine,"Dizziness, fatigue","Chest pain, serotonin syndrome","Sumatriptan, Rizatriptan"
Fulvestrant,Faslodex,,,,Hormone receptor-positive breast cancer (postmenopausal),"Injection site pain, fatigue","Thromboembolism, liver dysfunction","Tamoxifen, Anastrozole"
Furosemide,Lasix,,,,"Edema, heart failure, hypertension","Hypokalemia, increased urination","Ototoxicity, electrolyte imbalance","Torsemide, Bumetanide"
Gabapentin,Neurontin,Gralise,,,"Neuropathic pain, partial seizures, fibromyalgia (off-label)","Dizziness, fatigue","Behavioral changes, peripheral edema","Pregabalin, Carbamazepine"
Galantamine,Razadyne,,,,Alzheimer’s disease,"Nausea, vomiting","Bradycardia, syncope","Donepezil, Rivastigmine"
Ganciclovir,Cytovene,,,,CMV infections in immunocompromised patients,"Neutropenia, anemia","Seizures, renal toxicity","Valganciclovir, Foscarnet"
Ganirelix,Antagon,,,,Inhibition of premature LH surges during IVF cycles,"Headache, abdominal pain","Ovarian hyperstimulation, allergic reaction","Leuprolide, Cetrorelix"
Gatifloxacin,Zymar,Tequin,,,Bacterial conjunctivitis (ophthalmic); systemic form withdrawn in U.S.,Eye irritation (ophthalmic),"Dysglycemia, arrhythmias (systemic)","Moxifloxacin, Levofloxacin"
Gefitinib,Iressa,,,,Non-small cell lung cancer with EGFR mutations,"Diarrhea, rash","Interstitial lung disease, liver toxicity","Erlotinib, Osimertinib"
Gemcitabine,Gemzar,,,,"Pancreatic, lung, breast, and ovarian cancers","Nausea, myelosuppression","Pulmonary toxicity, hemolytic-uremic syndrome","Cisplatin, Paclitaxel"
Gemfibrozil,Lopid,,,,"Hypertriglyceridemia, mixed dyslipidemia","Dyspepsia, abdominal pain","Myopathy (esp. with statins), gallstones","Fenofibrate, Niacin"
