Generic Name,Brand Name 1,Brand Name 2,Brand Name 3,Brand Name 4,Uses,Side Effects (common),Side Effects (rare),Similar Drugs
Fluorometholone,FML,Flarex,,,Ocular inflammation (corticosteroid eye drops),"Blurred vision, stinging","Elevated IOP, glaucoma, cataracts","Prednisolone acetate, Loteprednol"
Fluorouracil,Adrucil,Efudex,,,"Cancers (colorectal, breast); actinic keratosis (topical)","Myelosuppression, mucositis","Cardiotoxicity, cerebellar syndrome","Capecitabine, Methotrexate"
Fluoxetine,Prozac,Sarafem,,,"Depression, OCD, bulimia, PMDD","Insomnia, nausea, anxiety","Serotonin syndrome, suicidal ideation","Sertraline, Escitalopram"
Fluphenazine,Prolixin,,,,Schizophrenia (typical antipsychotic),"Drowsiness, extrapyramidal symptoms","Tardive dyskinesia, neuroleptic malignant syndrome","Haloperidol, Chlorpromazine"
Flurandrenolide,Cordran,,,,Inflammatory/pruritic dermatoses,"Burning, dryness","Skin atrophy, adrenal suppression","Hydrocortisone, Fluocinolone"
Flurazepam,Dalmane,,,,Insomnia,"Drowsiness, dizziness","Dependence, cognitive impairment","Temazepam, Diazepam"
Flurbiprofen,Ansaid,Ocufen,,,Arthritis (oral); ocular inflammation (ophthalmic),"GI upset, headache (oral); burning (ophthalmic)","GI bleeding, corneal thinning (ophthalmic)","Diclofenac, Ketorolac"
Flutamide,Eulexin,,,,Prostate cancer (antiandrogen),"Gynecomastia, diarrhea","Hepatotoxicity, anemia","Bicalutamide, Nilutamide"
Fluticasone,Flonase,Flovent,Arnuity,,"Asthma, allergic rhinitis, COPD (depending on form)","Cough, throat irritation","Oral candidiasis, adrenal suppression","Budesonide, Beclomethasone"
Fluvastatin,Lescol,,,,"Hyperlipidemia, prevention of CV events","Headache, GI upset","Rhabdomyolysis, liver dysfunction","Atorvastatin, Simvastatin"
Fluvoxamine,Luvox,,,,"OCD, depression","Nausea, insomnia, dry mouth","Serotonin syndrome, SIADH","Fluoxetine, Paroxetine"
Folic acid,Folvite,FA-8,,,"Folate deficiency, pregnancy supplementation","Rash, bad taste","Seizures (very rare, high dose)","Folinic acid, B12"
Follitropin alfa,Gonal-f,,,,"Ovulation induction, male infertility","Ovarian enlargement, headache",Ovarian hyperstimulation syndrome,"Menotropins, Urofollitropin"
Fondaparinux,Arixtra,,,,DVT/PE prevention and treatment,"Bleeding, injection site reactions","Thrombocytopenia, spinal hematoma","Enoxaparin, Dalteparin"
Formoterol,Foradil,Perforomist,,,"Asthma, COPD (long-acting beta-agonist)","Tremor, headache","Paradoxical bronchospasm, QT prolongation","Salmeterol, Indacaterol"
