Generic Name,Brand Name 1,Brand Name 2,Brand Name 3,Brand Name 4,Uses,Side Effects (common),Side Effects (rare),Similar Drugs
Fesoterodine,Toviaz,,,,Overactive bladder,"Dry mouth, constipation","Urinary retention, blurred vision","Tolterodine, Oxybutynin"
Fexofenadine,Allegra,,,,"Allergic rhinitis, chronic urticaria","Headache, drowsiness (minimal)","Allergic reaction, dysmenorrhea","Loratadine, Cetirizine"
Fidaxomicin,Dificid,,,,C. difficile-associated diarrhea,"Nausea, GI upset","GI hemorrhage, neutropenia","Vancomycin (oral), Metronidazole"
Finasteride,Proscar,Propecia,,,"BPH, male pattern baldness","Decreased libido, erectile dysfunction","Breast tenderness, high-grade prostate cancer",Dutasteride
Finerenone,Kerendia,,,,CKD in type 2 diabetes,"Hyperkalemia, hypotension",Kidney function decline,"Spironolactone, Eplerenone"
Flecainide,Tambocor,,,,Supraventricular arrhythmias,"Dizziness, visual disturbances","Proarrhythmia, heart block","Propafenone, Amiodarone"
Floctafenine,Idarac (withdrawn),,,,Pain relief (NSAID; withdrawn in many countries),"GI upset, rash","Anaphylaxis, renal issues","Ibuprofen, Diclofenac"
Fluconazole,Diflucan,,,,"Fungal infections: candidiasis, cryptococcal meningitis","Nausea, abdominal pain","Hepatotoxicity, QT prolongation","Itraconazole, Voriconazole"
Flucytosine,Ancobon,,,,Serious fungal infections (with amphotericin B),"GI upset, diarrhea",Bone marrow suppression,"Amphotericin B, Fluconazole"
Fludarabine,Fludara,,,,Chronic lymphocytic leukemia (CLL),"Fatigue, nausea","Myelosuppression, neurotoxicity","Bendamustine, Rituximab"
Fludrocortisone,Florinef,,,,"Adrenal insufficiency, orthostatic hypotension","Hypertension, edema","Heart failure, hypokalemia","Hydrocortisone, Prednisone"
Flumazenil,Romazicon,,,,Benzodiazepine overdose reversal,"Dizziness, injection site pain",Seizures (esp. in chronic BZD users),"Naloxone (opioids), Physostigmine"
Flunisolide,Aerospan,,,,Asthma (inhaled corticosteroid),"Throat irritation, hoarseness","Oral candidiasis, adrenal suppression","Budesonide, Beclomethasone"
Fluocinolone,Synalar,Retisert,,,"Dermatitis, psoriasis; eye implants for uveitis","Burning, skin thinning","HPA axis suppression, increased IOP","Triamcinolone, Dexamethasone"
Fluocinonide,Lidex,Vanos,,,Inflammatory skin disorders,"Burning, itching","Skin atrophy, adrenal suppression","Clobetasol, Halobetasol"
