Generic Name,Brand Name 1,Brand Name 2,Brand Name 3,Brand Name 4,Uses,Side Effects (common),Side Effects (rare),Similar Drugs
Lurasidone,Latuda,,,,"Schizophrenia, bipolar disorder (depression)","Sedation, weight gain","QT prolongation, neuroleptic malignant syndrome","Olanzapine, Risperidone"
Macitentan,Opsumit,,,,Pulmonary arterial hypertension,"Edema, headache","Anemia, hepatotoxicity","Bosentan, Ambrisentan"
Magnesium sulfate,–,,,,"Eclampsia, preeclampsia, magnesium deficiency","Flushing, sweating","Hypotension, respiratory depression","Calcium gluconate, Potassium chloride"
Manidipine,Irasin,,,,Hypertension,"Edema, dizziness","Tachycardia, flushing","Amlodipine, Felodipine"
Mafenide acetate,Sulfamylon,,,,Topical antibiotic for burn wounds,"Pain, stinging","Metabolic acidosis, rash","Silver sulfadiazine, Mupirocin"
Magaldrate,Riopan,,,,"Antacid (heartburn, indigestion)","Diarrhea, constipation","Hypophosphatemia, aluminum toxicity","Aluminum hydroxide, Calcium carbonate"
Malathion,Ovide,,,,Head lice treatment,"Skin irritation, stinging","Eye irritation, allergic reactions","Permethrin, Benzyl alcohol"
Mepivacaine,Carbocaine,,,,Local anesthetic,"Nausea, dizziness","Cardiac arrhythmias, seizures","Lidocaine, Bupivacaine"
Meperidine,Demerol,,,,Moderate to severe pain (opioid analgesic),"Drowsiness, nausea","Seizures, respiratory depression","Morphine, Hydrocodone"
Meropenem,Merrem,,,,Severe bacterial infections (including resistant strains),"Nausea, diarrhea","Seizures, hepatotoxicity","Imipenem, Cefepime"
Mesalamine,Asacol,Pentasa,,,"Inflammatory bowel diseases (ulcerative colitis, Crohn's)","Nausea, abdominal pain","Kidney toxicity, liver toxicity","Sulfasalazine, Budesonide"
Methylprednisolone,Medrol,Depo-Medrol,,,"Inflammatory conditions, allergies, skin disorders","Weight gain, insomnia","Adrenal suppression, gastrointestinal bleeding","Prednisone, Dexamethasone"
Metoclopramide,Reglan,,,,"Nausea, vomiting (chemo-induced), gastroparesis","Drowsiness, fatigue","Extrapyramidal symptoms, tardive dyskinesia","Ondansetron, Domperidone"
Metolazone,Zaroxolyn,,,,"Hypertension, edema","Dizziness, hypotension","Electrolyte imbalance, dehydration","Furosemide, Hydrochlorothiazide"
Methadone,Dolophine,,,,"Opioid dependence, severe pain (opioid analgesic)","Drowsiness, constipation","Respiratory depression, QT prolongation","Buprenorphine, Oxycodone"
