Generic Name,Brand Name 1,Brand Name 2,Brand Name 3,Brand Name 4,Uses,Side Effects (common),Side Effects (rare),Similar Drugs
Cabotegravir,Cabenuva,,,,HIV-1 maintenance therapy (in combination with rilpivirine),"Injection site pain, headache, diarrhea","Hypersensitivity, elevated liver enzymes","Dolutegravir, Bictegravir"
Caffeine,NoDoz,Vivarin,,,CNS stimulant for alertness,"Nervousness, tachycardia, insomnia",Gastrointestinal upset,"Modafinil, Amphetamine"
Calcipotriene,Dovonex,,,,Psoriasis treatment,"Skin irritation, itching",Hypercalcemia (rare),"Calcitriol, Betamethasone"
Calcitonin,Miacalcin,Fortical,,,Osteoporosis and hypercalcemia management,"Nausea, facial flushing, injection site pain","Hypersensitivity, severe nausea","Bisphosphonates, Teriparatide"
Calcitriol,Rocaltrol,,,,Treatment of hypocalcemia and renal osteodystrophy,"Hypercalcemia, nausea, vomiting","Arrhythmias, confusion",Other Vitamin D analogues
Calcium acetate,PhosLo,,,,Management of hyperphosphatemia in chronic kidney disease,"Nausea, constipation",Hypercalcemia,"Sevelamer, Calcium carbonate"
Calcium carbonate,Tums,Caltrate,,,Calcium supplementation; antacid,"Constipation, gas","Hypercalcemia, kidney stones",Magnesium hydroxide
Calcium chloride,Calcijex,,,,IV treatment of hypocalcemia and cardiac resuscitation,"Injection site pain, bradycardia",Tissue necrosis,Calcium gluconate
Calcium citrate,Citracal,,,,Calcium supplementation and antacid,"Gastrointestinal discomfort, bloating",Kidney stones,Calcium carbonate
Calcium gluconate,Calcium Gluconate,,,,Treatment of hypocalcemia,"Nausea, vomiting, hypotension",Tissue necrosis,Calcium chloride
Calcium lactate,Calcium Lactate,,,,Calcium supplementation,Gastrointestinal upset,(Rare adverse effects),Calcium carbonate
Canagliflozin,Invokana,,,,Treatment of type 2 diabetes mellitus (SGLT2 inhibitor),"Genital mycotic infections, polyuria","Ketoacidosis, hypotension","Dapagliflozin, Empagliflozin"
Candesartan,Atacand,,,,Management of hypertension and heart failure,"Dizziness, headache, hypotension","Renal impairment, hyperkalemia","Losartan, Valsartan"
Capecitabine,Xeloda,,,,Treatment of breast and colorectal cancers (antineoplastic; prodrug of 5-FU),"Hand-foot syndrome, diarrhea, nausea","Cardiotoxicity, severe myelosuppression","5-Fluorouracil, Tegafur"
Capreomycin,Capastat,,,,Treatment of multidrug-resistant tuberculosis (injectable antibiotic),"Nephrotoxicity, ototoxicity","Hyperkalemia, allergic reactions","Amikacin, Kanamycin"
