Generic Name,Brand Name 1,Brand Name 2,Brand Name 3,Brand Name 4,Brand Name 5,Brand Name 6,Uses,Side Effects (common),Side Effects (rare),Similar Drugs
Aclidinium,Tudorza,Pressair,,,,,COPD (chronic obstructive pulmonary disease),"Headache, cough, sore throat","Urinary retention, paradoxical bronchospasm","Tiotropium, Glycopyrrolate"
Acyclovir,Zovirax,Sitavig,,,,,"Herpes simplex, herpes zoster, varicella","Nausea, diarrhea, headache","Renal toxicity, neurotoxicity","Valacyclovir, Famciclovir, Ganciclovir"
Adalimumab,Humira,Amjevita,Hadlima,Hyrimoz,Cyltezo,Abrilada,"Rheumatoid arthritis, psoriasis, Crohn’s disease","Injection site pain, headache, rash","Serious infections, malignancy","Etanercept, Infliximab, Ustekinumab"
Adapalene,Differin,Epiduo,,,,,Acne vulgaris,"Dryness, redness, irritation","Skin discoloration, hypersensitivity","Tretinoin, Tazarotene"
Adefovir,Hepsera,,,,,,Chronic hepatitis B infection,"Headache, abdominal pain, nausea","Nephrotoxicity, lactic acidosis","Tenofovir, Entecavir"
Adenosine,Adenocard,Adenoscan,,,,,Supraventricular tachycardia (SVT),"Flushing, chest discomfort, dyspnea","Asystole, bronchospasm","Verapamil, Diltiazem"
Ado-trastuzumab emtansine,Kadcyla,,,,,,HER2+ breast cancer,"Fatigue, nausea, musculoskeletal pain","Hepatotoxicity, thrombocytopenia","Trastuzumab, Lapatinib"
Afatinib,Gilotrif,,,,,,Non-small cell lung cancer (NSCLC) with EGFR mutations,"Diarrhea, rash, stomatitis","ILD, hepatotoxicity","Erlotinib, Gefitinib"
Aflibercept,Eylea,Zaltrap,,,,,"Wet AMD, colorectal cancer (Zaltrap)","Eye pain (Eylea), hypertension (Zaltrap)",Arterial thromboembolic events,"Ranibizumab, Bevacizumab"
Agomelatine,Valdoxan,,,,,,Major depressive disorder (not FDA approved in US),"Headache, dizziness, nausea","Liver dysfunction, suicidal thoughts","Sertraline, Mirtazapine"
Albuterol,ProAir HFA,Ventolin,Proventil,AccuNeb,VoSpire ER,,"Asthma, COPD (bronchodilator)","Tremor, nervousness, palpitations","Paradoxical bronchospasm, hypokalemia","Levalbuterol, Salmeterol"
Alclometasone,Aclovate,,,,,,"Inflammatory skin conditions (dermatitis, eczema)","Burning, itching, dryness","Skin thinning, allergic reactions","Hydrocortisone, Desonide"
Alendronate,Fosamax,Binosto,,,,,"Osteoporosis, Paget’s disease","Abdominal pain, musculoskeletal pain","Jaw osteonecrosis, esophageal ulcers","Risedronate, Ibandronate"
Alfentanil,Alfenta,,,,,,Analgesia during anesthesia,"Drowsiness, nausea, respiratory depression","Hypotension, apnea","Fentanyl, Sufentanil"
Alfuzosin,Uroxatral,,,,,,Benign prostatic hyperplasia (BPH),"Dizziness, headache, fatigue","Hypotension, QT prolongation","Tamsulosin, Doxazosin"
