Generic Name,Brand Name 1,Brand Name 2,Brand Name 3,Brand Name 4,Uses,Side Effects (common),Side Effects (rare),Similar Drugs
Brinzolamide,Azopt,,,,Glaucoma – reduces intraocular pressure,"Eye irritation, blurred vision, taste perversion","Corneal edema, ocular discomfort","Dorzolamide, Timolol"
Bromocriptine,Parlodel,,,,Parkinson’s disease; hyperprolactinemia,"Nausea, dizziness, headache","Orthostatic hypotension, fibrosis","Cabergoline, Pramipexole"
Brompheniramine,Bromfed,,,,"Relief of allergic symptoms (cough, cold, hay fever)","Drowsiness, dry mouth","Urinary retention, blurred vision","Diphenhydramine, Chlorpheniramine"
Budesonide,Pulmicort,Entocort,,,Asthma (inhaled) or inflammatory bowel disease (oral),"Hoarseness, oral thrush (inhaled); abdominal pain (oral)","Adrenal suppression, osteoporosis","Fluticasone, Beclomethasone"
Bumetanide,Bumex,,,,"Edema associated with heart failure, renal disease","Electrolyte imbalance, dizziness","Ototoxicity, hypotension","Furosemide, Torsemide"
Bupivacaine,Marcaine,,,,Local anesthesia for surgical procedures,"Hypotension, dizziness","Cardiac arrhythmias, CNS toxicity","Lidocaine, Ropivacaine"
Buprenorphine,Suboxone,Subutex,,,"Opioid dependence, pain management","Nausea, headache, constipation","Respiratory depression, hypotension","Methadone, Naloxone (combination)"
Bupropion,Wellbutrin,,,,Depression; smoking cessation,"Insomnia, dry mouth, headache","Seizures, allergic reaction","Sertraline, Mirtazapine"
Buspirone,Buspar,,,,Anxiety disorders,"Dizziness, nausea, headache","Excitability, insomnia",(Different mechanism from benzodiazepines)
Busulfan,Myleran,,,,Chronic myelogenous leukemia,"Nausea, vomiting, skin hyperpigmentation","Pulmonary fibrosis, hepatic veno-occlusive disease","Cyclophosphamide, Melphalan"
Butalbital,Fioricet*,,,,"Tension headaches, migraine (as part of combination therapy)","Drowsiness, dizziness","Dependence, gastrointestinal upset",(Typically combined with acetaminophen and caffeine)
Butenafine,Lotrimin Ultra,,,,"Topical treatment of fungal skin infections (e.g., tinea)","Burning, stinging","Skin irritation, contact dermatitis","Terbinafine, Clotrimazole"
Butoconazole,Gynazole-1,,,,Vulvovaginal candidiasis (topical antifungal),Local irritation,Allergic reaction,"Miconazole, Clotrimazole"
Cabazitaxel,Jevtana,,,,Metastatic castration-resistant prostate cancer,"Neutropenia, diarrhea, fatigue","Hypersensitivity reactions, renal toxicity","Docetaxel, Paclitaxel"
Cabergoline,Dostinex,,,,Hyperprolactinemia; adjunct in Parkinson’s disease,"Nausea, headache, dizziness","Valvular heart disease, fibrosis","Bromocriptine, Quinagolide"
