Generic Name,Brand Name 1,Brand Name 2,Brand Name 3,Brand Name 4,Uses,Side Effects (common),Side Effects (rare),Similar Drugs
Ibandronate,Boniva,,,,Osteoporosis treatment,"Back pain, indigestion","Hypocalcemia, esophageal ulcers","Alendronate, Risedronate"
Ibrutinib,Imbruvica,,,,"CLL, mantle cell lymphoma, Waldenström’s macroglobulinemia","Diarrhea, fatigue","Bleeding, atrial fibrillation, infection","Acalbrutinib, Idelalisib"
Ibuprofen,Advil,Motrin,,,"Pain, inflammation, fever (NSAID)","GI upset, headache","Peptic ulcer disease, GI bleeding","Naproxen, Diclofenac"
Idarubicin,Idamycin,,,,"Leukemia, lymphoma","Nausea, alopecia","Cardiotoxicity, myelosuppression","Doxorubicin, Epirubicin"
Imatinib,Gleevec,,,,"Chronic myeloid leukemia, gastrointestinal stromal tumors (GIST)","Edema, nausea, fatigue","Liver toxicity, heart failure","Dasatinib, Nilotinib"
Immune globulin,Gamunex,Gammagard,,,"Primary immunodeficiencies, autoimmune diseases","Injection site reaction, headache","Anaphylaxis, renal failure",Intravenous immunoglobulin
Indomethacin,Indocin,,,,"Pain, inflammation (NSAID)","GI upset, headache","Peptic ulcers, GI bleeding","Ibuprofen, Naproxen"
Infliximab,Remicade,,,,"Rheumatoid arthritis, Crohn’s disease, ulcerative colitis, psoriasis","Headache, nausea","Tuberculosis reactivation, demyelinating disease","Etanercept, Adalimumab"
Insulin (various),Humulin R,Novolin R,,,Diabetes mellitus (type 1 and type 2),"Hypoglycemia, weight gain","Lipodystrophy, insulin resistance","Lispro, Glargine"
Ipratropium,Atrovent,,,,"COPD, asthma (inhaled bronchodilator)","Dry mouth, cough","Urinary retention, blurred vision","Tiotropium, Albuterol"
Irinotecan,Camptosar,,,,"Cancer treatment (colon, ovarian, small cell lung)","Diarrhea, nausea","Myelosuppression, secondary malignancies","Topotecan, Fluorouracil"
Isosorbide,Isordil,,,,Angina (long-acting nitrate),"Headache, dizziness","Hypotension, reflex tachycardia","Nitroglycerin, Amyl nitrite"
Isotretinoin,Accutane,Claravis,Absorica,,Severe acne (oral retinoid),"Dry skin, chapped lips","Teratogenicity, liver toxicity","Tretinoin, Adapalene"
Ivabradine,Corlanor,,,,"Heart failure, angina","Bradycardia, visual disturbances","QT prolongation, atrial fibrillation","Bisoprolol, Carvedilol"
Ivermectin,Stromectol,,,,"Parasitic infections, head lice","Nausea, dizziness","Allergic reactions, seizures","Albendazole, Mebendazole"
