Generic Name,Brand Name 1,Brand Name 2,Brand Name 3,Brand Name 4,Uses,Side Effects (common),Side Effects (rare),Similar Drugs
Erdafitinib,Balversa,,,,Locally advanced/metastatic bladder cancer with FGFR alterations,"Hyperphosphatemia, dry mouth","Eye toxicity, retinal disorders","Infigratinib, Pemigatinib"
Ertapenem,Invanz,,,,"Intra-abdominal infections, skin infections, community-acquired pneumonia","Diarrhea, nausea","Seizures, C. difficile colitis","Meropenem, Imipenem"
Erythromycin,Ery-Tab,E.E.S.,EryPed,,"Respiratory, skin, and GI infections; acne; gastroparesis","Nausea, abdominal cramps","QT prolongation, hepatotoxicity","Azithromycin, Clarithromycin"
Escitalopram,Lexapro,,,,"Depression, generalized anxiety disorder","Nausea, insomnia","QT prolongation, serotonin syndrome","Citalopram, Sertraline"
Esmolol,Brevibloc,,,,"Supraventricular tachycardia, perioperative hypertension","Hypotension, dizziness","Heart block, bronchospasm","Labetalol, Metoprolol"
Esomeprazole,Nexium,,,,"GERD, peptic ulcers, Zollinger-Ellison syndrome","Headache, diarrhea","Hypomagnesemia, C. difficile colitis","Omeprazole, Pantoprazole"
Estradiol,Estrace,Climara,Vivelle-Dot,,"Menopausal symptoms, hormone replacement therapy","Breast tenderness, headache","Thromboembolism, endometrial hyperplasia","Conjugated estrogens, Estriol"
Estramustine,Emcyt,,,,Prostate cancer (hormonal chemotherapy),"Nausea, gynecomastia","Thromboembolism, hepatotoxicity","Bicalutamide, Leuprolide"
Eszopiclone,Lunesta,,,,Insomnia,"Drowsiness, dry mouth","Complex sleep behaviors (e.g., sleep-driving)","Zolpidem, Zaleplon"
Etacrynic acid,Edecrin,,,,"Edema (loop diuretic, used in sulfa-allergic patients)","Hypokalemia, dizziness","Ototoxicity, electrolyte imbalance","Furosemide, Bumetanide"
Etanercept,Enbrel,,,,"Rheumatoid arthritis, psoriasis, ankylosing spondylitis","Injection site reaction, infections","TB reactivation, demyelinating disease","Adalimumab, Infliximab"
Ethacrynate sodium,Sodium Edecrin,,,,Alternative IV form of etacrynic acid,Same as etacrynic acid,Same as etacrynic acid,"Torsemide, Furosemide"
Ethambutol,Myambutol,,,,Tuberculosis (part of multi-drug regimen),"Optic neuritis, rash","Vision loss, gout","Isoniazid, Rifampin"
Ethinyl estradiol,Loestrin,Yaz,Ortho Tri-Cyclen,,Contraception (in combination products),"Nausea, breast tenderness","Thromboembolism, hypertension","Estradiol (HRT), Drospirenone"
Ethionamide,Trecator,,,,Tuberculosis (second-line agent),"Nausea, metallic taste","Hepatitis, peripheral neuropathy","Isoniazid, Cycloserine"
