Generic Name,Brand Name 1,Brand Name 2,Brand Name 3,Brand Name 4,Uses,Side Effects (common),Side Effects (rare),Similar Drugs
Droperidol,Inapsine,,,,Nausea/vomiting prevention; antipsychotic use in emergencies,"Drowsiness, hypotension","QT prolongation, arrhythmias","Haloperidol, Ondansetron"
Drospirenone,Yaz,Yasmin,,,Oral contraceptive (with ethinyl estradiol),"Nausea, breast tenderness","Thromboembolism, hyperkalemia","Norgestimate, Desogestrel"
Duloxetine,Cymbalta,,,,"Depression, anxiety, neuropathic pain, fibromyalgia","Nausea, dry mouth, fatigue","Liver toxicity, serotonin syndrome","Venlafaxine, Amitriptyline"
Dutasteride,Avodart,,,,Benign prostatic hyperplasia (BPH),"Decreased libido, impotence","Breast tenderness, angioedema","Finasteride, Tamsulosin"
Econazole,Spectazole,,,,"Topical fungal infections (tinea, candidiasis)","Burning, redness","Contact dermatitis, rash","Clotrimazole, Miconazole"
Eculizumab,Soliris,,,,"Paroxysmal nocturnal hemoglobinuria, atypical HUS","Headache, nasopharyngitis","Meningococcal infection, infusion reactions",Ravulizumab
Edoxaban,Savaysa,,,,"Stroke prevention in atrial fibrillation, DVT/PE","Bleeding, rash","Liver injury, spinal hematoma","Apixaban, Rivaroxaban"
Edrophonium,Enlon,Tensilon,,,Myasthenia gravis diagnosis; reversal of neuromuscular blockade,"Bradycardia, GI upset","Seizures, respiratory distress","Neostigmine, Pyridostigmine"
Efavirenz,Sustiva,,,,HIV-1 infection (NNRTI class),"Rash, dizziness, vivid dreams","Depression, hepatotoxicity","Rilpivirine, Nevirapine"
Efinaconazole,Jublia,,,,Onychomycosis (topical antifungal),"Ingrown toenail, application site irritation","Dermatitis, blistering","Ciclopirox, Tavaborole"
Eflornithine,Vaniqa,,,,Unwanted facial hair in women (hirsutism),"Skin irritation, burning","Acne, folliculitis","Spironolactone (off-label), Laser therapy"
Eletriptan,Relpax,,,,Acute treatment of migraine headaches,"Dizziness, drowsiness","Serotonin syndrome, hypertension","Sumatriptan, Rizatriptan"
Elmiron,Elmiron,,,,Interstitial cystitis/bladder pain syndrome,"Nausea, diarrhea",Retinal pigmentary changes,"Pentosan polysulfate (only brand), Amitriptyline"
