Generic Name,Brand Name 1,Brand Name 2,Brand Name 3,Brand Name 4,Uses,Side Effects (common),Side Effects (rare),Similar Drugs
Samelukast,Singulair,,,,"Asthma, allergic rhinitis, exercise-induced bronchoconstriction","Headache, throat irritation","Neuropsychiatric events (agitation, sleep disturbance)","Montelukast, Zafirlukast"
Sevelamer,Renvela,Renagel,,,Hyperphosphatemia in chronic kidney disease,"Nausea, diarrhea","Constipation, bowel obstruction","Lanthanum carbonate, Calcium carbonate"
Sildenafil,Viagra,Revatio,,,"Erectile dysfunction, pulmonary arterial hypertension","Headache, flushing","Vision changes, priapism","Tadalafil, Vardenafil"
Simvastatin,Zocor,,,,"Hyperlipidemia, cardiovascular risk reduction","Muscle pain, GI upset","Myopathy, liver enzyme elevation","Atorvastatin, Rosuvastatin"
Sodium bicarbonate,Alka-Seltzer,,,,"Acid indigestion, heartburn","Belching, nausea","Metabolic alkalosis, electrolyte imbalance","Calcium carbonate, Magnesium hydroxide"
Sofosbuvir,Sovaldi,,,,Chronic hepatitis C (in combination with other antiviral agents),"Fatigue, headache","Hepatotoxicity, reactivation of HBV infection","Ledipasvir/sofosbuvir, Daclatasvir"
Somatropin,Humatrope,Genotropin,Norditropin,,"Growth hormone deficiency, Turner syndrome, Prader-Willi syndrome","Headache, joint pain","Scoliosis, intracranial hypertension","Mecasermin, Tesamorelin"
Spironolactone,Aldactone,,,,"Hypertension, heart failure, hyperaldosteronism, edema","Hyperkalemia, dizziness","Gynecomastia, menstrual irregularities","Eplerenone, Amiloride"
Sucralfate,Carafate,,,,"Peptic ulcer disease, gastric reflux disease","Constipation, nausea","Aluminum toxicity (long-term use), bezoar formation","Omeprazole, Pantoprazole"
Sulfamethoxazole/trimethoprim,Bactrim,Septra,,,"Bacterial infections (UTI, respiratory, gastrointestinal)","Nausea, rash","Stevens-Johnson syndrome, thrombocytopenia","Ciprofloxacin, Amoxicillin"
Sumatriptan,Imitrex,,,,Acute treatment of migraine and cluster headaches,"Drowsiness, dizziness","Chest pain, serotonin syndrome","Rizatriptan, Zolmitriptan"
Tacrolimus,Prograf,Astagraf XL,Envarsus XR,,"Organ transplant immunosuppression (kidney, liver)","Tremor, headache","Nephrotoxicity, hypertension","Cyclosporine, Mycophenolate"
Tamsulosin,Flomax,,,,Benign prostatic hyperplasia (BPH),"Dizziness, headache","Retrograde ejaculation, orthostatic hypotension","Alfuzosin, Silodosin"
Tadalafil,Cialis,Adcirca,,,"Erectile dysfunction, pulmonary arterial hypertension","Headache, indigestion","Priapism, sudden hearing loss","Sildenafil, Vardenafil"
Tamoxifen,Nolvadex,Tamofen,,,Breast cancer prevention and treatment (ER-positive),"Hot flashes, nausea","Endometrial cancer, blood clots","Letrozole, Anastrozole"
